Store,Date,DailySales,Industry Average,Global Average,Units Sold,Average Basket Size,Number of Transactions,Foot Traffic,Conversion Rate (%),Gross Margin (%),Net Profit,Inventory Available,Stockout Flag,Customer Satisfaction Score,Promotion Active
Southwest,03-02-2025,292191.63,284265.41,310974.2,599,2.38,251,760.698135,32.9960057,29.37,85816.68,1916,No,2,No
Southwest,04-02-2025,208633.74,210749.42,196731.73,541,2.77,195,668.7115399,29.16055554,56.25,117356.48,1450,No,1,No
Southwest,05-02-2025,76076.94,82437.34,82840.01,541,2.18,248,457.8658612,54.16433524,20.71,15755.53,477,No,2,No
Southwest,06-02-2025,226108.72,203540.79,195061.63,288,2.27,126,404.1208842,31.17878954,40.61,91822.75,1568,No,3,No
Southwest,07-02-2025,238174.62,227696.14,225608.51,405,4.52,89,514.7115099,17.29123952,26.65,63473.54,1589,No,4,Yes
Southwest,08-02-2025,201292.09,209442.95,194502.62,501,4.17,120,311.1007319,38.57271543,59.51,119788.92,719,No,1,Yes
Southwest,09-02-2025,212810.13,224964.97,218903.05,270,4.57,59,190.1745338,31.02413285,24.44,52010.8,1337,No,5,No
Southwest,10-02-2025,207652.77,196126.76,207008.19,641,4.95,129,365.879266,35.25753219,42.81,88896.15,144,No,1,Yes
Southwest,11-02-2025,192313.14,201839.52,209758.54,268,4.68,57,341.0738921,16.71192118,29.41,56559.29,1735,No,3,Yes
Southwest,12-02-2025,245514.44,262438.54,237998.04,143,3.88,36,174.671175,20.61015505,36.38,89318.15,1824,No,4,No
Southwest,13-02-2025,230392.46,224251.34,236835.11,538,2.26,238,598.429647,39.77075688,36.38,83816.78,1199,No,4,Yes
Southwest,14-02-2025,163872.85,159449.24,166146.77,366,2.33,157,527.1141968,29.78481721,31.86,52209.89,908,No,5,Yes
Southwest,15-02-2025,84232.01,80984.71,83899.62,710,4.29,165,556.0537998,29.67338773,27.17,22885.84,1285,No,4,Yes
Southwest,16-02-2025,153028.93,159863.35,161874.48,509,2.7,188,360.7114798,52.1192173,31.41,48066.39,367,No,5,Yes
Southwest,17-02-2025,161187.89,145420.2,138511.42,669,2.61,256,529.1813113,48.37661393,50.15,80835.73,155,No,5,Yes
Southwest,18-02-2025,161860.71,147531.96,162127.82,931,4.51,206,539.5168838,38.18230832,28.32,45838.95,1808,No,5,No
Southwest,19-02-2025,169651.59,168522.7,165670.97,208,3.59,57,180.8725185,31.51390851,27.56,46755.98,1791,No,2,Yes
Southwest,20-02-2025,227855.03,233760.31,252865.67,712,3.54,201,580.8591738,34.60391246,42.89,97727.02,815,No,1,Yes
Southwest,21-02-2025,111987.33,117945.51,120263.55,715,4.6,155,674.9128834,22.96592698,21.4,23965.29,16,No,4,Yes
Southwest,22-02-2025,184641.26,168073.27,167411.68,582,3.41,170,318.3356326,53.40275564,21.19,39125.48,471,No,3,Yes
Southwest,23-02-2025,163721.3,155044.25,161047.59,184,1.9,96,434.0940445,22.11502351,40.55,66388.99,1361,No,5,Yes
Southwest,24-02-2025,177375.84,170685.31,157322.37,261,4.17,62,330.7383196,18.7459379,55.22,97946.94,292,No,4,No
Southwest,25-02-2025,185277.9,196932.3,199616.52,994,4.08,243,665.6108682,36.50781735,52.75,97734.09,1605,No,3,Yes
Southwest,26-02-2025,198503.74,182340.43,171454.77,415,2.12,195,600.4967615,32.47311435,24.98,49586.23,697,No,5,No
Southwest,27-02-2025,282949.53,297034.15,323597.9,886,4.02,220,583.9598455,37.67382324,27.41,77556.47,1000,No,3,No
Southwest,28-02-2025,146280.26,150982.34,155160.51,888,3.35,265,633.5705935,41.82643619,38.48,56288.64,873,No,1,No
Southwest,01-03-2025,95136.4,100155.98,94216.96,993,2.79,355,771.0337075,46.04208565,27.13,25810.51,802,No,2,Yes
Southwest,02-03-2025,159434.12,157847.45,173206.48,241,4.31,55,551.9195708,9.965220099,33.75,53809.02,457,No,5,No
Southwest,03-03-2025,198139.03,189504.64,195965.96,408,1.84,221,642.8726087,34.37695074,25.51,50545.27,215,No,4,Yes
Southwest,04-03-2025,247346.48,252720.59,268429.51,600,2.21,271,626.3356927,43.26753259,54.43,134630.69,1036,No,2,No
Southwest,05-03-2025,280635.68,294797.96,317650.07,834,2.3,362,751.3961198,48.17698554,24.75,69457.33,1133,No,4,Yes
Southwest,06-03-2025,172270.33,161541.3,175891.71,672,4.05,165,614.966563,26.83072706,32.75,56418.53,1611,No,5,No
Southwest,07-03-2025,160813.78,170431.57,162985.87,311,2.32,134,584.9934028,22.90624123,31.09,49997,1717,No,1,No
Southwest,08-03-2025,258778.5,280569.27,297413.57,174,3.16,55,202.5772207,27.15014047,53.04,137256.12,1892,No,5,Yes
Southwest,09-03-2025,157933.79,157345.98,168509.12,853,4.52,188,590.161189,31.85570375,40.12,63363.04,438,No,2,No
Southwest,10-03-2025,209393.58,202239.99,220021.11,174,2.84,61,258.3893122,23.6077876,31.01,64932.95,1148,No,2,Yes
Southwest,11-03-2025,302867.65,278822.97,297986.35,752,3.06,245,467.1678764,52.4436744,36.84,111576.44,902,No,3,Yes
Southwest,12-03-2025,124950.28,128406.37,117191.44,109,4.52,24,530.2148686,4.526466801,25.9,32362.12,41,No,1,No
Southwest,13-03-2025,172687.25,162632.94,149274.17,830,4.22,196,535.3826548,36.60932946,35.18,60751.37,1991,No,1,No
Southwest,14-03-2025,197986.62,188190.09,173973.8,279,1.86,150,484.7383496,30.94452917,43.96,87034.92,933,No,2,No
Southwest,15-03-2025,253990.05,249763.78,256575.03,976,2.43,401,723.4900741,55.42577768,44.74,113635.15,648,No,5,No
Southwest,16-03-2025,212753.5,231004.73,249745.33,868,1.92,452,796.8726388,56.7217367,52.65,112014.72,1713,No,2,Yes
Southwest,17-03-2025,284362.62,280129.23,276574.52,808,1.62,498,785.503509,63.39882563,49.26,140077.03,1535,No,2,No
Southwest,18-03-2025,197814.97,204818.07,188697.27,599,3.97,150,409.2886705,36.64894995,46.17,91331.17,1808,No,3,No
Southwest,19-03-2025,222739.78,228529.64,207649.29,662,2.39,276,715.2216161,38.58943771,47.79,106447.34,1287,No,1,Yes
Southwest,20-03-2025,166233.75,158682.85,157992.02,242,3.59,67,358.6443653,18.68145898,51.79,86092.46,1937,No,2,No
Southwest,21-03-2025,193073.62,191429.43,186905.73,667,3.8,175,662.5101964,26.4146878,30.9,59659.75,193,No,5,Yes
Southwest,22-03-2025,192939.79,204625.39,200167.36,676,4.47,151,527.1141968,28.64654394,24.67,47598.25,854,No,5,Yes
Southwest,23-03-2025,114920.73,121446.21,121389.41,790,3.66,215,588.0940745,36.55877679,53.96,62011.23,1545,No,2,Yes
Southwest,24-03-2025,179612.82,176613.81,175272.34,881,4.15,212,704.8860436,30.07578344,45.36,81472.38,1415,No,4,No
Southwest,25-03-2025,230327.5,221948.96,209193.15,242,2.36,102,218.0805795,46.77170257,57.57,132599.54,1830,No,1,Yes
Southwest,26-03-2025,102510.97,97852.35,95388.61,612,1.97,310,500.2417084,61.97004264,31.41,32198.7,590,No,5,No
Southwest,27-03-2025,308886.98,287381.06,312976.74,656,4.35,150,421.6913575,35.57103966,30.54,94334.08,424,No,1,Yes
Southwest,28-03-2025,250380.53,232851.14,239672.19,585,1.82,321,570.5236013,56.26410534,45.93,114999.78,94,No,5,No
Southwest,29-03-2025,166022.72,165618.05,172359.73,917,3.18,288,651.1410667,44.23004703,27.4,45490.23,380,No,5,Yes
Southwest,30-03-2025,272203.59,276566.14,283560.14,290,4.22,68,357.6108081,19.01508525,54.5,148350.96,1557,No,5,Yes
Southwest,31-03-2025,109750.37,111541.9,117625.1,835,1.66,503,758.6310206,66.30364253,29.56,32442.21,572,No,2,Yes
Northwest,01-01-2025,183293.42,184289.72,201206.95,168,1.89,88,290.4295869,30.29994325,37.67,69046.63,1518,No,2,Yes
Northwest,02-01-2025,188356.14,190377.06,199951.81,628,2.15,292,567.4229295,51.46073322,28.65,53964.03,242,No,2,No
Northwest,03-01-2025,244222.14,260173.75,243162.92,662,4.04,163,448.5638459,36.33819388,22.12,54021.94,492,No,5,Yes
Northwest,04-01-2025,116489.64,125616.75,113677.96,720,1.7,423,684.2148986,61.82268186,23.91,27852.67,730,No,5,No
Northwest,05-01-2025,108712.37,100936.46,92964.08,359,2.75,130,588.0940745,22.10530689,41.1,44680.78,1290,No,5,Yes
Northwest,06-01-2025,183909.52,172530.3,163131.86,987,3,329,500.2417084,65.76820655,48.83,89803.02,671,No,2,Yes
Northwest,07-01-2025,303350.64,284346.89,264708.21,734,3.91,187,489.9061359,38.17057724,38.63,117184.35,1140,No,3,No
Northwest,08-01-2025,208340.91,224617.73,226448.9,882,4.8,183,296.6309304,61.69282474,26.89,56022.87,449,No,5,Yes
Northwest,09-01-2025,153138.16,146953.88,145018.92,312,4.25,73,458.8994184,15.9076253,37.77,57840.28,1226,No,3,No
Northwest,10-01-2025,171265.77,169371.97,153373.93,838,4.64,180,464.0672047,38.78748556,45.52,77960.18,794,No,4,Yes
Northwest,11-01-2025,213926.54,209390.52,225000.83,673,4.24,158,666.6444254,23.7007907,26.27,56198.5,1671,No,2,Yes
Northwest,12-01-2025,165416.32,150586.43,142739.36,813,3.99,203,686.2820131,29.57967659,50.57,83651.03,1033,No,1,No
Northwest,13-01-2025,141839.78,138858.31,127334.43,727,2.05,354,706.9531581,50.07403898,43.86,62210.93,1588,No,4,Yes
Northwest,14-01-2025,257548.96,242220.64,255506.12,813,4.25,191,332.8054341,57.39088982,20.8,53570.18,1489,No,1,No
Northwest,15-01-2025,217678.07,203254.03,221346.72,440,2.96,148,271.8255564,54.44668336,25.35,55181.39,911,No,1,No
Northwest,16-01-2025,182035.22,183805.1,190442.42,872,4.61,189,681.1142269,27.74864957,54.68,99536.86,1211,No,2,No
Northwest,17-01-2025,214849.34,228833.24,227816.7,144,3.58,40,444.4296169,9.000300267,21.22,45591.03,945,No,4,Yes
Northwest,18-01-2025,159341.33,168232.85,180458.44,235,2.14,109,311.1007319,35.03688318,54.88,87446.52,140,No,2,Yes
Northwest,19-01-2025,215821.14,218109.42,226161.25,232,4.89,47,416.5235712,11.28387521,31.06,67034.05,1586,No,5,Yes
Northwest,20-01-2025,99861.59,92340.9,92435.86,507,4.13,122,437.1947162,27.90518629,27.85,27811.45,86,No,1,No
Northwest,21-01-2025,174345.34,172541.41,173078.03,187,1.55,120,301.7987166,39.76160049,35.3,61543.91,1432,No,2,No
Northwest,22-01-2025,125847.46,119968.35,116516.91,559,4.64,120,313.1678464,38.31811005,58.69,73859.87,212,No,1,No
Northwest,23-01-2025,237277.39,213715.03,216738.63,884,3.4,260,656.3088529,39.61549488,35.23,83592.82,1098,No,4,No
Northwest,24-01-2025,148210.54,157526.41,152790.92,568,3.07,185,335.9061058,55.07491433,59.12,87622.07,1174,No,2,No
Northwest,25-01-2025,211226.87,215650.08,196076.73,522,3.26,160,593.2618608,26.96954087,58.62,123821.19,1242,No,5,No
Northwest,26-01-2025,138439.16,149241.51,156723.61,305,3.71,82,598.429647,13.70252968,59.04,81734.48,661,No,5,Yes
Northwest,27-01-2025,160699.57,173108.39,161862.35,575,4,143,321.4363043,44.4878186,37.44,60165.92,507,No,3,Yes
Northwest,28-01-2025,146241.52,152440.08,163624.81,881,2.18,404,878.5236614,45.98624007,36.49,53363.53,935,No,1,No
Northwest,29-01-2025,221917.72,243808.39,220180.65,730,2.14,341,676.9799979,50.37076443,43.45,96423.25,1239,No,2,No
Northwest,30-01-2025,132998.7,128336.85,128874.46,754,3.1,243,738.9934328,32.88256556,31,41229.6,972,No,5,Yes
Northwest,31-01-2025,101170.08,95289.24,88338.73,430,1.57,273,609.7987767,44.76886645,35.38,35793.97,140,No,1,No
Northwest,01-02-2025,160527.72,148880.71,161511.15,153,3.91,39,269.7584419,14.45737888,31.89,51192.29,1578,No,1,No
Northwest,02-02-2025,251721.9,238656.42,234557.27,756,3.14,240,680.0806696,35.28993114,23.28,58600.86,1326,No,1,No
Northwest,03-02-2025,136510.93,124050.25,122183.56,274,4.29,63,270.7919992,23.26508914,46.08,62904.24,1716,No,4,Yes
Northwest,04-02-2025,322580.41,348708.91,362881.68,667,3.84,173,379.3155103,45.60846981,32.13,103645.09,81,No,2,Yes
Northwest,05-02-2025,237978.91,221233.56,210850.18,934,4.86,192,500.2417084,38.38144577,52.4,124700.95,65,No,3,No
Northwest,06-02-2025,224509.98,240478.94,237732.05,803,1.71,469,670.7786544,69.91874248,33.51,75233.29,1094,No,3,Yes
Northwest,07-02-2025,212343.02,215891.3,235848.11,979,4.15,235,421.6913575,55.72796213,30.68,65146.84,76,No,2,Yes
Northwest,08-02-2025,156248.13,166266.09,169166.22,133,3.64,36,464.0672047,7.757497112,21.37,33390.23,118,No,5,Yes
Northwest,09-02-2025,188708.89,173283.98,183233.34,777,2.79,278,499.2081511,55.68819327,49.04,92542.84,765,No,3,No
Northwest,10-02-2025,110825.05,113211.56,122502.87,284,1.88,151,517.8121816,29.16115251,47.33,52453.5,1221,No,5,Yes
Northwest,11-02-2025,208664.85,199254.73,216253.51,595,3.81,156,608.7652195,25.6256427,52.04,108589.19,1616,No,1,Yes
Northwest,12-02-2025,154195.37,169502.77,166855.13,390,3.16,123,525.0470823,23.42647053,20.04,30900.75,1246,No,2,No
Northwest,13-02-2025,256150.81,255946.56,249593.27,335,2.31,145,398.953098,36.34512446,45.82,117368.3,916,No,2,No
Northwest,14-02-2025,178804.61,176100.84,165242.97,384,4.44,86,564.3222578,15.23951941,48.18,86148.06,1218,No,3,No
Northwest,15-02-2025,188999.91,185789.15,195185.1,193,4.68,41,195.34232,20.98879546,45.22,85465.76,1805,No,4,No
Northwest,16-02-2025,139698.17,125784.46,120475.18,653,2.69,242,415.490014,58.24448046,30.51,42621.91,1005,No,2,No
Northwest,17-02-2025,155475.92,156796.11,159609.39,541,4.09,132,412.3893422,32.00858666,58.17,90440.34,1504,No,3,No
Northwest,18-02-2025,280322.55,280453.56,255004.98,641,4.65,137,311.1007319,44.03718345,23.64,66268.25,943,No,2,Yes
Northwest,19-02-2025,317037.58,319036.42,345987.02,961,3.28,292,754.4967916,38.70129115,37.7,119523.17,55,No,2,No
Northwest,20-02-2025,193686.69,186054.08,170124.75,368,4.53,81,413.4228995,19.59252864,59.47,115185.47,1400,No,3,No
Northwest,21-02-2025,197222.14,214920.26,200698.5,752,2.33,322,539.5168838,59.68302562,40.32,79519.97,1788,No,1,Yes
Northwest,22-02-2025,151318.9,137361.12,137395.19,894,4.34,205,487.8390214,42.02205871,45.48,68819.84,664,No,5,No
Northwest,23-02-2025,233033.45,233620.05,211118.32,238,2.82,84,560.1880288,14.9949652,26.28,61241.19,1238,No,2,No
Northwest,24-02-2025,138280.29,138157.02,138752.58,540,3.12,173,556.0537998,31.11209744,20.1,27794.34,987,No,4,No
Northwest,25-02-2025,256931.3,268987.44,294418.68,725,2.37,305,781.36928,39.03404034,45.97,118111.32,1528,No,5,No
Northwest,26-02-2025,236777.99,258617.27,246576.87,894,4.72,189,547.7853418,34.50256616,26.21,62059.51,306,No,2,No
Northwest,27-02-2025,177348.48,176347.12,174245.7,656,4.19,156,276.9933427,56.31904309,27.14,48132.38,386,No,1,No
Northwest,28-02-2025,192618.51,189710.66,186520.68,360,3.55,101,229.4497092,44.01836043,51.1,98428.06,553,No,4,Yes
Northwest,01-03-2025,168770.91,173570.78,176664.94,499,2.09,238,553.9866853,42.96132133,36.99,62428.36,608,No,4,Yes
Northwest,02-03-2025,207319,192105.43,181120.86,471,3.22,146,522.9799678,27.91693927,48.55,100653.37,1808,No,3,No
Northwest,03-03-2025,255872.66,270794.63,286134.61,325,3.94,82,254.2550832,32.25107596,36.01,92139.74,1498,No,1,No
Northwest,04-03-2025,159722.84,148935.74,152950.37,967,3.47,278,450.6309604,61.69127832,25.09,40074.46,1587,No,4,No
Northwest,05-03-2025,218442.3,238013.99,216284.32,836,4.28,195,427.892701,45.57217255,29.33,64069.13,151,No,3,No
Northwest,06-03-2025,332248.23,364535.43,392970.51,872,3.08,283,486.8054641,58.13410507,50.61,168150.83,143,No,1,Yes
Northwest,07-03-2025,211289.18,216107.09,210038.95,286,2.17,131,262.5235412,49.90028681,22.85,48279.58,630,No,3,Yes
Northwest,08-03-2025,228313.7,220181.08,214250.21,898,2.9,309,717.2887306,43.07888676,28.72,65571.69,1093,No,5,Yes
Northwest,09-03-2025,175922.78,173111.67,175919.93,487,4.46,109,247.0201824,44.12594911,28.21,49627.82,806,No,4,Yes
Northwest,10-03-2025,188233.51,175458.29,177465.48,352,2.35,149,405.1544415,36.77609937,23.99,45157.22,241,No,5,Yes
Northwest,11-03-2025,255019.79,263638.6,242768.24,852,3.59,237,527.1141968,44.96179413,54.02,137761.69,1635,No,5,No
Northwest,12-03-2025,192064.92,192469.76,173874.03,795,2.24,354,792.7384098,44.65533594,23.12,44405.41,1038,No,5,Yes
Northwest,13-03-2025,144831.27,133871.93,134964.46,458,2.14,214,333.8389913,64.10275778,36.84,53355.84,94,No,2,No
Northwest,14-03-2025,191344.3,189085.65,196018.28,941,3.21,293,695.5840284,42.12287632,55.59,106368.3,1920,No,2,Yes
Northwest,15-03-2025,301072.86,272630.61,257116.05,965,4.82,200,606.698105,32.96532466,42.55,128106.5,890,No,5,No
Northwest,16-03-2025,224593.98,227114.24,215039.79,839,3.64,230,417.5571285,55.08228319,47.93,107647.89,480,No,2,Yes
Northwest,17-03-2025,251036.4,258796.38,274062.14,227,3.03,74,460.9665329,16.05322615,50.75,127400.97,1463,No,5,No
Northwest,18-03-2025,207737,224619,228926.08,407,3.36,121,264.5906557,45.73101786,39.84,82762.42,916,No,3,Yes
Northwest,19-03-2025,161941.72,157601.43,147588.41,382,2.85,134,310.0671746,43.21644178,27.69,44841.66,226,No,4,No
Northwest,20-03-2025,155579.3,156189.43,162439.36,688,2.04,337,596.3625325,56.50925094,50.99,79329.89,714,No,5,Yes
Northwest,21-03-2025,126081.52,131162.84,123097.51,119,3.64,32,404.1208842,7.918422741,55.68,70202.19,400,No,1,Yes
Northwest,22-03-2025,189835.77,201366.61,191608.71,246,2.38,103,337.9732203,30.47578737,27.84,52850.28,965,No,4,No
Northwest,23-03-2025,206987.64,196362.3,176870.35,355,1.65,215,715.2216161,30.06061271,41.36,85610.09,1887,No,2,Yes
Northwest,24-03-2025,120772.03,114710.67,106298.11,377,3.52,107,385.5168538,27.7549474,51.76,62511.6,1281,No,5,Yes
Northwest,25-03-2025,162080.89,177335.37,177429.01,704,2.4,293,533.3155403,54.93933288,59.66,96697.46,788,No,1,Yes
Northwest,26-03-2025,194003.46,181560.5,175125.57,258,2.15,120,453.7316322,26.44735158,29.44,57114.62,1236,No,2,No
Northwest,27-03-2025,150849.49,146610.2,146960.62,167,3.57,46,413.4228995,11.1266212,58.89,88835.26,1316,No,1,No
Northwest,28-03-2025,210843.66,194830.44,184590.64,541,4.65,116,312.1342891,37.1634915,20.27,42738.01,771,No,1,No
Northwest,29-03-2025,183901.47,199346.82,183108.74,496,3.44,144,389.6510828,36.95614009,55.85,102708.97,1667,No,5,No
Northwest,30-03-2025,183668.37,175566.31,180032.24,469,2.73,171,571.5571585,29.91826757,45.74,84009.91,1799,No,2,Yes
Northwest,31-03-2025,154955.83,160441.26,147927.07,858,4.14,207,487.8390214,42.43203002,39.91,61842.87,222,No,4,Yes
